"","x1","x2","x3","x4","x5","Округ"
"Белгородская область","7 777","14 918","2 825","2 009","1 841","сenter"
"Брянская область","4 560","10 211","1 538","1 418","837",""
"Владимирская область","5 802","8 902","1 703","1 468","","сenter"
"Воронежская область","","17 186","3 362","2 458","4 347","сenter"
"Ивановская область","4 495","5 649","1 338","977","1 288","сenter"
"Калужская область","4 335","7 514","1 569","998","689","сenter"
"Костромская область","3 280","5 363","1 191","784","604","сenter"
"Курская область","4 675","13 227","1 876","1 799","1 423","сenter"
"Липецкая область","4 509","9 159","1 796","1 319","721","сenter"
"Московская область","33 195","52 660","8 134","5 313","3 355","сenter"
"Орловская область","3 715","7 503","1 297","1 064","1 242","сenter"
"Рязанская область","4 744","8 946","1 496","1 396","1 703","сenter"
"Смоленская область","3 705","7 553","1 166","967","1 164","сenter"
"Тамбовская область","3 886","9 581","1 600","1 113","1 091","сenter"
"Тверская область","5 917","9 866","1 422","1 376","1 344","сenter"
"Тульская область","6 356","11 186","2 232","1 688","912","сenter"
"Ярославская область","7 792","9 247","1 681","1 650","1 670","сenter"
"г.Москва","417","108 858","7 627","7 924","33 757","сenter"
"Республика Карелия","3 378","5 692","1 029","675","579","nw"
"Республика Коми","5 562","8 009","1 908","1 095","458","nw"
"Ненецкий авт. округ","462","614","111","55","","nw"
"Архангельская область без авт. округа","7 146","10 028","1 801","1 624","780","nw"
"Вологодская область","7 679","9 356","1 447","1 487","760","nw"
"Калининградская область","3 650","6 757","1 465","900","860","nw"
"Ленинградская область","","11 933","2 771","1 037","240","nw"
"Мурманская область","5 716","5 841","1 755","844","239","nw"
"Новгородская область","3 013","4 295","630","693","306","nw"
"Псковская область","2 838","5 345","885","652","431","nw"
"г.Санкт-Петербург","29 468","40 774","8 428","6 180","19 254","nw"
"Республика Адыгея","2 052","4 028","748","514","527","south"
"Республика Калмыкия","1 406","3 963","392","418","320","south"
"Республика Крым","6 255","17 488","2 790","1 905","2 092","south"
"Краснодарский край","25 000","38 485","9 967","5 412","4 221","south"
"Астраханская область","4 191","7 481","1 659","1 275","1 366","south"
"Волгоградская область","8 664","18 679","2 150","2 542","2 681","south"
"Ростовская область","14 909","30 640","6 080","4 770","5 624","south"
"г. Севастополь","1 734","3 078","660","445","787","south"
"Республика Дагестан","8 204","42 801","5 062","2 375","1 927","caucasus"
"Республика Ингушетия","1 606","7 412","950","515","291","caucasus"
"Кабардино-Балкарская Республика","3 964","7 972","1 109","726","753","caucasus"
"Карачаево-Черкесская Республика","1 673","5 275","638","434","404","caucasus"
"Республика Северная Осетия - Алания","3 263","6 746","1 264","1 007","1 065","caucasus"
"Чеченская Республика","7 888","25 995","2 471","1 630","933","caucasus"
"Ставропольский край","10 231","19 437","3 378","2 515","2 556","caucasus"
"Республика Башкортостан","18 161","36 124","5 691","5 017","3 999","volga"
"Республика Марий Эл","3 084","5 677","961","780","679","volga"
"Республика Мордовия","3 387","7 008","1 231","1 149","1 194","volga"
"Республика Татарстан (Татарстан)","20 647","34 486","7 893","4 041","5 651","volga"
"Удмуртская Республика","9 350","15 015","2 499","1 748","1 544","volga"
"Чувашская Республика - Чувашия","5 936","9 881","1 219","1 234","945","volga"
"Пермский край","13 263","20 143","3 459","3 067","2 429","volga"
"Кировская область","6 958","9 913","1 941","1 384","934","volga"
"Нижегородская область","15 421","22 721","5 069","3 318","3 915","volga"
"Оренбургская область","7 728","17 344","3 473","2 341","1 676","volga"
"Пензенская область","5 431","9 772","2 283","1 456","1 515","volga"
"Самарская область","12 551","19 977","5 373","","3 649","volga"
"Саратовская область","10 066","19 008","3 094","3 002","3 423","volga"
"Ульяновская область","5 331","9 518","2 001","1 317","1 398","volga"
"Курганская область","4 354","7 759","1 435","945","400","ural"
"Свердловская область","24 000","33 840","6 943","4 989","4 810","ural"
"Ханты-Мансийский авт. округ-Югра","11 309","16 394","2 391","1 578","957","ural"
"Ямало-Ненецкий авт. округ","4 362","6 422","1 433","461","7","ural"
"Тюменская область без авт. округов","6 130","12 360","1 633","1 488","2 195","ural"
"Челябинская область","19 956","27 545","4 880","4 164","3 569","ural"
"Республика Алтай","1 303","4 012","557","274","140","siberia"
"Республика Тыва","2 538","6 739","","585","208","siberia"
"Республика Хакасия","2 887","5 532","814","700","308","siberia"
"Алтайский край","9 292","20 902","2 610","2 382","2 233","siberia"
"Красноярский край","15 035","27 954","5 206","3 777","3 126","siberia"
"Иркутская область","12 582","23 118","4 022","3 455","2 587","siberia"
"Кемеровская область","14 135","19 242","4 394","3 270","1 762","siberia"
"Новосибирская область","13 994","24 017","4 624","2 854","3 832","siberia"
"Омская область","7 232","15 627","3 594","2 476","2 776","siberia"
"Томская область","5 748","9 784","2 187","1dff24d8","2 653","siberia"
"Республика Бурятия","3 377","9 471","1 806","1 285","768","dv"
"Республика Саха (Якутия)","6 770","17 212","2 850","1 474","1 169","dv"
"Забайкальский край","4 672","11 712","1 550","1 178","781","dv"
"Камчатский край","2 202","3 129","783","341","132","dv"
"Приморский край","6 485","12 822","2 049","1 812","2 380","dv"
"Хабаровский край","5 689","10 688","1 877","1 648","1 800","dv"
"Амурская область","2 954","7 211","929","977","829","dv"
"Магаданская область","787","1 215","331","202","97","dv"
"Сахалинская область","3 332","4 511","792","507","131","dv"
"Еврейская автономная область","803","","175","187","57","dv"
"Чукотский автономный округ","292","713","179","36","2","dv"
